ΕΦΑΡΜΟΓΗ,ΘΕΜΑΤΙΚΗ ΕΝΟΤΗΤΑ,ΓΝΩΣΤΙΚΟ ΑΝΤΙΚΕΙΜΕΝΟ,ΕΚΠΑΙΔΕΥΤΙΚΗ ΒΑΘΜΙΔΑ,"URL
",ΠΕΡΙΓΡΑΦΗ,"ΑΔΕΙΑ
",ΕΙΔΟΣ,ΛΕΙΤΟΥΡΓΙΚΟ
physion,ΦΥΣΙΚΕΣ ΕΠΙΣΤΗΜΕΣ,ΦΥΣΙΚΗ,ΠΡΩΤΟΒΑΘΜΙΑ#ΓΥΜΝΑΣΙΟ,"
http://physion.net/en/downloads",Physion is a 2D Physics simulation software. It can be used to easily create a wide range of interactive physics simulations and educational experiments.,OPEN SOURCE,"
","WINDOWS, LINUX"
Pitivi,ΒΙΝΤΕΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.pitivi.org/,Επεξεργασία βίνεο,OPEN SOURCE,LINUX,
Protein Investigator,ΒΙΟΛΟΓΙΑ,ΒΙΟΛΟΓΙΑ,ΛΥΚΕΙΟ,http://intro.bio.umb.edu/PI/,The Protein Investigator gives students an opportunity to interactively explore protein structure and function in a simplified system. This is a highly-simplified model of protein folding. It is not intended to predict the correct structures of any proteins; it is designed to illustrate the major principles involved in that proces,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"WINDOWS, MACOSX"
PuTTY,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.chiark.greenend.org.uk/~sgtatham/putty,"terminal emulator, serial console and network file transfer application",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
pySioGame,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,,ΠΡΩΤΟΒΑΘΜΙΑ,http://www.pysiogame.net/,"Συλλογή εκπαιδευτικών παιχνιδιών και δραστηριοτήτων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"WINDOWS, LINUX"
QGIS,ΓΕΩΓΡΑΦΙΑ,ΓΕΩΓΡΑΦΙΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.qgis.org/en/site/,"Το  Quantum  GIS  (QGIS)  είναι  ένα  φιλικό  προς  το  χρήστη  λογισμικό 
Γεωγραφικών  Συστημάτων  Πληροφοριών  Ανοιχτού  Κώδικα  και 
διέπεται από την άδεια General Public License (GNU)",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
qucs,ΗΛΕΚΤΡΟΝΙΚΗ,,ΛΥΚΕΙΟ,http://qucs.sourceforge.net/index.html,"Qucs is an integrated circuit simulator which means you are able to setup a circuit with a graphical user interface (GUI) and simulate the large-signal, small-signal and noise behaviour of the circuit. After that simulation has finished you can view the simulation results on a presentation page or window.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
R-project ,ΜΑΘΗΜΑΤΙΚΑ - ΣΤΑΤΙΣΤΙΚΗ,ΜΑΘΗΜΑΤΙΚΑ,"ΛΥΚΕΙΟ
",https://www.r-project.org/,Γλώσσα με περιβάλλον για υπολογισμούς στατιστικής. Προσφέρει μεγάλη ποικιλία στατιστικών και γραφικών τεχνικών. ,OPEN SOURCE,,CROSSPLATFORM
Repetier,ΣΧΕΔΙΑΣΗ 3D- PRINTING,,"ΛΥΚΕΙΟ
",https://www.repetier.com/,3D Printing Software,,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
sage,ΜΑΘΗΜΑΤΙΚΑ,ΜΑΘΗΜΑΤΙΚΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.sagemath.org/,SageMath is a free open-source mathematics software system licensed under the GP,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Sakai,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://sakaiproject.org,Πλατφόρμες eLearning,,,
SalsaJ,ΑΣΤΡΟΝΟΜΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.euhou.net/index.php/salsaj-software-mainmenu-9/download-mainmenu-10,"It allows students to display, analyse, and explore real astronomical images and other data in the same way that professional astronomers do, making the same kind of discoveries that lead to true excitement about science. ",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
SchoolTool,ΣΥΣΤΗΜΑΤΑ ΔΙΑΧΕΙΡΙΣΗΣ ΠΛΗΡΟΦΟΡΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://schooltool.org,Συστήματα διαχείρισης Πληροφοριών,,,
scilab,ΜΑΘΗΜΑΤΙΚΑ,ΜΑΘΗΜΑΤΙΚΑ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://www.scilab.org,"Πακέτο λογισμικού για αριθμητικούς υπολογισμούς. Υποστηρίζει την ενσωμάτωση προγραμμάτων γραμμένων σε διάφορες γλώσσες (C, Fortran κ.ά.). ",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Scratch for Arduino (S4A),ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,,S4A is a Scratch modification that allows for simple programming of the Arduino open source hardware platform. It provides new blocks for managing sensors and actuators connected to Arduino. There is also a sensors report board similar to the PicoBoard one,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Scribus,DTP,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.scribus.net/,"Το Scribus είναι μια εφαρμογή για σελιδοποίηση εγγράφων (desktop publishing, DTP) η οποία διατίθεται ως ελεύθερο λογισμικό υπό τη Γενική δημόσια άδεια GPL. ",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Sebran,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,http://online.seterra.com/en/p/sebran,Συλλογή εκπαιδευτικών παιχνιδιών-προγραμματων,OPEN SOURCE,,WINDOWS
Simile Exhibit,ΔΙΑΔΡΑΣΤΙΚΟΙ ΧΑΡΤΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.simile-widgets.org/exhibit/,"Exhibit lets you easily create web pages with advanced text search and filtering functionalities, with interactive maps, timelines, and other visualizations like these: ",OPEN SOURCE,"SOURCE CODE
",
Simile Timeline,ΧΡΟΝΟΓΡΑΜΜΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://simile-widgets.org/wiki/Timeline,,,,
Stellarium,ΑΣΤΡΟΝΟΜΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,http://www.stellarium.org/,"Είναι μια πλήρως εξελληνισμένη εφαρμογή λογισμικού ανοιχτού κώδικα, με την οποία μπορείτε να απεικονίσετε ρεαλιστικά, σε τρεις διαστάσεις, τον ουρανό με τους αστερισμούς. Είναι ένα 3D πλανητάριο για τον Η/Υ, που εγκαθίσταται σε pc, mac και linux. Απλά ορίστε συντεταγμένες και ξεκινήστε την περιήγηση σε περισσότερα από 600.000 άστρα, ενώ υπάρχουν επιπρόσθετοι κατάλογοι 210 εκατομμυρίων άστρων.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
STORYBIRD,ΔΗΜΙΟΥΡΓΙΑ ΔΙΑΔΡΑΣΤΙΚΩΝ ΙΣΤΟΡΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://storybird.com/,"Δημιουργία διαδραστικών ιστοριών
",,ΠΛΑΤΦΟΡΜΑ,ONLINE
storyboardthat,ΔΗΜΙΟΥΡΓΙΑ ΔΙΑΔΡΑΣΤΙΚΩΝ ΙΣΤΟΡΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.storyboardthat.com/,Δημιουργία διαδραστικών ιστοριών,,ΠΛΑΤΦΟΡΜΑ,ONLINE
StoryMapJS,ΕΝΝΟΙΟΛΟΓΙΚΟΙ ΧΑΡΤΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://storymap.knightlab.com/,,,ΠΛΑΤΦΟΡΜΑ,ONLINE
Tagul,ΣΥΝΝΕΦΑ ΛΕΞΕΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://tagul.com/,,,,
tcexam,ΚΟΥΙΖ - ΠΑΖΛ -ΤΕΣΤ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://tcexam.org/,"TCExam is a Open Source system for electronic exams (also know as CBA - Computer-Based Assessment, CBT - Computer-Based Testing or e-exam) that enables educators and trainers to author, schedule, deliver, and report on quizzes, tests and exams",OPEN SOURCE,ΠΛΑΤΦΟΡΜΑ,ONLINE
thinglink,ΔΗΜΙΟΥΡΓΙΑ ΠΟΛΥΜΕΣΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,https://www.thinglink.com/edu,Διαδικτυακή πλατφόρμα μετατροπής απλών στατικών εικόνων σε σύνθετες πολυμεσικές,,ΠΛΑΤΦΟΡΜΑ,ONLINE
Thunderbird,ΗΛΕΚΤΡΟΝΙΚΗ ΑΛΛΗΛΟΓΡΑΦΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.mozilla.org/el/thunderbird/,Εφαρμογή ηλ. ταχυδρομείου,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Timeglider,ΧΡΟΝΟΓΡΑΜΜΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://timeglider.com/,"Web-based timeline software for creating and sharing history, project planning and more",,ΠΛΑΤΦΟΡΜΑ,"ONLINE
"
TimelineJS,ΧΡΟΝΟΓΡΑΜΜΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,"
https://timeline.knightlab.com/",εφαρμογή κατασκευής διαδραστικών χρονογραμμών,,,"ONLINE
"
TimeRime,ΧΡΟΝΟΓΡΑΜΜΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,http://timerime.com/,,,ΠΛΑΤΦΟΡΜΑ,ONLINE
Timetoast,ΧΡΟΝΟΓΡΑΜΜΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,https://www.timetoast.com/,,,,
TuxMath,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,,Παιχνιδι αριθμητικής,,,
TuxPaint,ΖΩΓΡΑΦΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,http://www.tuxpaint.org/,"Tux Paint is a free, award-winning drawing program for children ages 3 to 12 (for example, preschool and K-6). Tux Paint is used in schools around the world as a computer literacy drawing activity. It combines an easy-to-use interface, fun sound effects, and an encouraging cartoon mascot who guides children as they use the program.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
TuxType,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,http://tux4kids.alioth.debian.org/tuxtype/," TuxTyping is an educational typing tutor for kids starring Tux, the Linux penguin. This educational game comes with two different games for practicing your typing, and having a great time doing it.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
TwinSpace,ΣΥΝΕΡΓΑΤΙΚΗ ΠΛΑΤΦΟΡΜΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://twinspace.etwinning.net/login,Συνεργαστική πλατφόρμα e-twinning,,ΠΛΑΤΦΟΡΜΑ,"ONLINE
"
VideoLAN Movie Creator,ΕΠΕΞΕΡΓΑΣΙΑ ΒΙΝΤΕΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.videolan.org/vlmc/,Εφαρμογή επεξεργασία βίντεο,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Virtual box,"VIRTUALIZATION
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.virtualbox.org/,Virtualization,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
VirtualX,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://virtualx.sourceforge.net,Πλατφόρμες eLearning,,,
VLC ,"ΒΙΝΤΕΟ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.videolan.org/vlc/),Εφαρμογή αναπαραγωγής βίντεο,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
WebQuest,ΑΝΟΙΧΤΟ ΕΚΠΑΙΔΕΥΤΙΚΟ ΠΕΡΙΕΧΟΜΕΝΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://webquest.org/index.php,,,OER,
Wevideo,ΒΙΝΤΕΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.wevideo.com/,Online Επεξεργασία βίντεο,,ONLINE,ONLINE
WINE,"
WINDOWS EMULATOR",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.winehq.org/,Windows Emulator,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
Wireshark,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.wireshark.org/,"Το Wireshark είναι ένα ελεύθερο και ανοιχτού κώδικα λογισμικό ανάλυσης πρωτοκόλλων δικτύου υπολογιστών. Χρησιμοποιείται για ανάλυση δικτύου, παρακολούθηση δικτύου, εντοπισμό και αντιμετώπιση προβλημάτων στα δίκτυα και για εκπαίδευση.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
xplanets,ΑΣΤΡΟΝΟΜΙΑ,ΑΣΤΡΟΝΟΜΙΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://xplanet.sourceforge.net/,"Xplanet was inspired by Xearth, which renders an image of the earth into the X root window. All of the major planets and most satellites can be drawn, similar to the Solar System Simulator. A number of different map projections are also supported, including azimuthal, Lambert, Mercator, Mollweide, orthographic, and rectangular. ",OPEN SOURCE,"
",CROSSPLATFORM
Zentyal,ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΑΣΤΗΡΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.zentyal.org/,Microsoft Exchange alternative on Linux.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
Εκπαιδευτικές εφαρμογές Φωτόδεντρου,"ΑΝΟΙΧΤΟ ΕΚΠΑΙΔΕΥΤΙΚΟ ΠΕΡΙΕΧΟΜΕΝΟ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://retinalart.blogspot.gr/p/edu-games.html,,OER,ΠΛΑΤΦΟΡΜΑ,ΟΝLINE
Colorillo,ΣΧΕΔΙΑΣΗ,"ΔΗΜΙΟΥΡΓΙΑ ΚΑΙ ΕΚΦΡΑΣΗ
",ΠΡΟΣΧΟΛΙΚΗ,http://colorillo.com/about.php,Συνεργατική πλατφόρμα σχεδίσσης,OER,ΠΛΑΤΦΟΡΜΑ,ΟΝLINE
LEARN GENETICS,ΒΙΟΛΟΓΙΑ,ΒΙΟΛΟΓΙΑ,"ΛΥΚΕΙΟ
",http://learn.genetics.utah.edu/,,OER,ΠΛΑΤΦΟΡΜΑ,ΟΝLINE
PhET,ΦΥΣΙΚΕΣ ΕΠΙΣΤΗΜΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΛΥΚΕΙΟ,https://phet.colorado.edu/el/about,"Το PhET παρέχει διασκεδαστικές, διαδραστικές, βασισμένες σε έρευνες προσομοιώσεις φυσικών φαινομένων δωρεάν. Θεωρούμε ότι η βασισμένη σε έρευνα προσέγγισή μας -που ενσωματώνει ευρήματα από προηγούμενες έρευνες- ενεργοποιεί τους μαθητές, ώστε να κάνουν συνδέσεις μεταξύ των φαινομένων της πραγματικής ζωής και της υποκείμενης σε αυτά επιστημονικής γνώσης και να εμβαθύνουν στον φυσικό κόσμο.",OER,ΠΛΑΤΦΟΡΜΑ,ΟΝLINE
photodentro,ΑΝΟΙΧΤΟ ΕΚΠΑΙΔΕΥΤΙΚΟ ΠΕΡΙΕΧΟΜΕΝΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,,,OER,ΠΛΑΤΦΟΡΜΑ,ΟΝLINE
PhysicsLab,ΦΥΣΙΚΕΣ ΕΠΙΣΤΗΜΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.physicslab.org/,,OER,ΠΛΑΤΦΟΡΜΑ,ΟΝLINE
prezi,ΔΗΜΙΟΥΡΓΙΑ ΠΑΡΟΥΣΙΑΣΕΩΝ ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://prezi.com,online presenations,"OER
",ΠΛΑΤΦΟΡΜΑ,ONLINE
Proprofs,ΚΟΥΙΖ - ΠΑΖΛ -ΤΕΣΤ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,,"online quiz, survey, online course creation tool as well as a knowledge base software",OER,ΠΛΑΤΦΟΡΜΑ,ONLINE
seilias,ΑΝΟΙΧΤΟ ΕΚΠΑΙΔΕΥΤΙΚΟ ΠΕΡΙΕΧΟΜΕΝΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.seilias.gr/,Φυσική και Φωτογραφία,OER,ΠΛΑΤΦΟΡΜΑ,ONLINE
ERPNext,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://erpnext.com/,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
Dolibar ERP/CRM,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://www.dolibarr.org/,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
Odoo,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://www.odoo.com/,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
Mautic,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://www.mautic.org/,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
SuiteCRM,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://suitecrm.com/,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
EspoCRM,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://www.espocrm.com/,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
PSPP,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",http://www.gnu.org/software/pspp/,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
SOFA statitics,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",http://www.sofastatistics.com,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
CPU Sim,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",http://www.cs.colby.edu/djskrien/CPUSim/,"Εξομοίωση CPU
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
EDUmips,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",http://www.edumips.org/,Εξομοίωση MIPS64 CPU,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
OS Sim,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://sourceforge.net/projects/oscsimulator/,Εξομοίωση Λειτουργικών Συστημάτων,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
Logisim,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",http://www.cburch.com/logisim/index.html,Σχεδιασμός κυκλωμάτων,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
Johnny Simulator,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://sourceforge.net/projects/johnnysimulator/,simulator of a simple (virtual) von-Neumann Computer,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
PyCharm Community,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://www.jetbrains.com/pycharm/,Python IDE,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
BlueJ,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",http://www.bluej.org/,Java Development Environment ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
"
Paint.net,ΖΩΓΡΑΦΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.getpaint.net/index.html,"Σχεδίαση - Επεξεργασία εικόνας
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"Windows
"
Fritzing,"ΗΛΕΚΤΡΟΝΙΚΗ
",ΗΛΕΚΤΡΟΛΟΓΙΑΣ ΗΛΕΚΤΡΟΝΙΚΗΣ ΚΑΙ ΑΥΤΟΜΑΤΙΣΜΟΥ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://fritzing.org/,"Σχεδίαση ηλεκτρονικών Κυκλωμάτων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
